Language,English,Français,italiano,deutsch,español,日本,Português,عربى,한국어,русский,中国人,中國人,Polskie
Extras,Extras,Suppléments,Extra,Extras,Extras,エキストラ,Extras,إضافات,엑스트라,Дополнения,额外,額外,Dodatki
Total Volume,Total Volume,Volume total,Volume totale,Volle Lautstärke,Volumen total,全容積,Volume total,الحجم الكلي,총 볼륨,Общий объем,总容积,總容積,Maksymalna głośność
Music Volume,Music Volume,Volume de la musique,Volume della musica,Musiklautstärke,Volumen de la música,音楽のボリューム,Volume da música,طبقة صوت الموسيقا,음악 볼륨,Музыкальный том,音乐卷,音樂卷,Głośność muzyki
Sound Effects Volume,Sound Effects Volume,Volume d'effets sonores,Volume degli effetti sonori,Soundeffektvolumen,Volumen de efectos de sonido,サウンドエフェクトボリューム,Volume de efeitos sonoros,حجم المؤثرات الصوتية,음향 효과 볼륨,Звуковые эффекты громкость,声音效果量,聲音效果量,Objętość efektów dźwiękowych
Toggle Fullscreen,Toggle Fullscreen,Passer en plein écran,Passare a schermo intero,Vollbildschaltung,Alternar pantalla completa,フルスクリーン切り替え,Alternar para o modo tela cheia,ملء الشاشة تبديل,전체 화면 토글,Включить полноэкранный режим,切换全屏,切換全屏,Przełącz tryb pełnoekranowy
Player Name,Player Name,Nom de joueur,Nome del giocatore,Spielername,Nombre del jugador,プレーヤの名前,Nome do jogador,اسم اللاعب,선수 이름,Имя игрока,选手姓名,選手姓名,Nazwa gracza
Robe Color,Robe Color,Couleur de la robe,Colore della veste,Robe Farbe,Color de túnica,ローブの色,Cor de túnica,رداء اللون,로브 컬러,Цвет халата,长袍颜色,長袍顏色,Kolor szaty
Toggle FPS / Latency Monitor,Toggle FPS / Latency Monitor,Toggle FPS / Lentency Monitor,Monitoraggio FPS / latenza attiva,FPS / Latenzmonitor umschalten,Alternar FPS / Monitor de latencia,FPS / LATENCYモニターを切り替えます,Alterar FPS / Monitor de Latência,تبديل FPS / مراقبة الكمون,FPS / 대기 시간 모니터를 토글합니다,Переключить FPS / задержка монитора,切换FPS /延迟监视器,切換FPS /延遲監視器,Przełącz Monitor FPS / Opóźnienie
Clear active spell,Clear active spell,Sort actif clair,Chiaro incantesimo attivo,Klarer aktiver Zauber,Clear hechizo activo,アクティブな呪文をクリアします,Feitiço ativo claro,تعويذة نشطة واضحة,명확한 활성 주문,Ясное активное заклинание,清晰的主动咒语,清晰的主動咒語,Jasne aktywne zaklęcie
free look,free look,regard libre,Look gratuito,Kostenloser Look,mirada libre,自由な外観,visual grátis,نظرة مجانية,무료보기,Свободный вид,自由观看,自由觀看,darmowe spojrzenie
camera follow player,camera follow player,Camera Suivre le joueur,La fotocamera segui il giocatore,Kamera folgen Spieler,Camera Seguir el jugador,カメラはプレーヤーに従います,Câmera segue o jogador,الكاميرا اتبع المشغل,카메라를 따르십시오,камера следила за игроком,相机关注播放器,相機關注播放器,Kamera śledź gracza
ping location,ping location,Emplacement de ping,posizione ping,Pingort,ubicación de ping,pingの場所,Localização do ping,موقع ping,핑 위치,Расположение пинга,ping位置,ping位置,Lokalizacja ping
toggle menu,toggle menu,menu à bascule,menu a disattivazione,Menü umschalten,Menú de palanca,トグルメニュー,Menu de alternância,القائمة تبديل,토글 메뉴,переключение меню,切换菜单,切換菜單,Przełącz menu
inventory,inventory,inventaire,inventario,Inventar,inventario,在庫,inventário,المخزون,목록,инвентарь,存货,存貨,Inwentarz
view walk distance,view walk distance,Voir la distance de marche,Visualizza la distanza a piedi,Blickwinne sehen,Ver distancia de caminata,歩行距離を表示します,ver uma distância de caminhada,عرض مسافة المشي,도보 거리를보십시오,Посмотреть на дистанцию ​​прогулки,查看步行距离,查看步行距離,Zobacz odległość spaceru
Resume Game,Resume Game,CV Game,Riprendi il gioco,Spiel fortsetzen,Reanudar juego,履歴書ゲーム,Retomar o jogo,أكمل اللعب,게임 재개,Продолжить игру,游戏继续,遊戲繼續,Kontynuuj grę
🠔 Back,🠔 Back,🠔 Retour,🠔 indietro,🠔 zurück,🠔 Volver,🠔前,🠔 Voltar,🠔 العودة,🠔 이전,🠔 назад,🠔回,🠔回,🠔 Powrót
Quit to Main Menu,Quit to Main Menu,Arrêtez du menu principal,ESCIO AL MENU MAIN,Beenden Sie zum Hauptmenü,Renunciar al menú principal,メインメニューを終了します,Pare no menu principal,استقال إلى القائمة الرئيسية,메인 메뉴로 종료하십시오,Перестать главное меню,退出主菜单,退出主菜單,Przejdź do menu głównego
